#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','11024F','Paraglider','D-NJKA','','Y','Y'
'F','11026D','Paraglider','JERG','JEM','Y','Y'
'F','110347','Paraglider','MaRu','','N','Y'
'F','110386','Paraglider','iota2','','N','Y'
'F','1103B6','Paraglider','1103B6','','Y','Y'
'F','1103ED','Paraglider','D-MDAR','D-MDAR','Y','Y'
'F','1105E0','Gleitschirm','Tomek','','Y','Y'
'F','1105F5','Paraglidere','9757','MAHE','Y','Y'
'F','110673','Paraglider','57122','','Y','Y'
'F','11076B','UAV','HB-UAV','','Y','Y'
'F','1107D8','ASH-25 MI','HB2351','RC','Y','Y'
'F','1107E5','Paraglider','13057','THGA','Y','Y'
'F','1109D5','Paramotor','D-MRPK','','Y','Y'
'F','110BD2','Paramotor Trike','D-MGNG','JA','Y','Y'
'F','110D73','Paraglider','-','','Y','Y'
'F','110DAD','Motorschirm','test','','Y','Y'
'F','111007','Paraglider','Berni','BER','Y','Y'
'F','111111','PIK-20 B','SE-TXO','R6','N','Y'
'F','111112','Jantar','VH-UKO','UKO','Y','Y'
'F','111118','Discus a','ZBK','BK','Y','Y'
'F','1111C2','Paraglider','Nova Mentor 4','','Y','Y'
'F','111328','Paraglider','RS','','Y','Y'
'F','111382','Paraglider','MicRued','GSM','Y','Y'
'F','1114B9','Paraglider','Siresz Hungary','','Y','Y'
'F','11150F','ParaMotor','D-MIAS','','Y','Y'
'F','111738','Balloon','D-OWBF','BTF','Y','Y'
'F','11176A','Paraglider','Bosher','Chris Bosher','Y','Y'
'F','11178E','Glider','F-CUDO','LUDO','Y','Y'
'F','1118AB','DRONE','ASB-SAR','ASB','Y','Y'
'F','1118B7','human','CPN_01','CPN','Y','Y'
'F','1118CE','Paraglider','EF','EF','Y','Y'
'F','111AD2','Paraglider','KNVvvL-2005.6130','','Y','Y'
'F','111B88','Paraglider','Paraglider','','Y','Y'
'F','111D13','Paraglider','-----','','Y','Y'
'F','111D2C','Paraglider','Daniel','','Y','Y'
'F','111E50','Paraglider','Henry','HN','Y','Y'
'F','111EC6','Paraglider','39646','','Y','Y'
'F','111F75','Paraglider','N/A','','Y','Y'
'F','11203D','Paramotor','44BBS','','Y','Y'
'F','1120C8','Paraglider','D-NEOO','TOM','Y','Y'
'F','112233','lkj','lkj','lkj','Y','Y'
'F','1123D1','Paraglider','GWC','','Y','Y'
'F','1124D2','Paraglider','CMR','','Y','Y'
'F','112941','Paraglider','RichL','','Y','Y'
'F','112A90','Paraglider','-','','Y','Y'
'F','112CC9','Paraglider','112CC9','','Y','Y'
'F','112CCD','Paraglider','112CCD','','Y','Y'
'F','112DAA','Paraglider','AJC','','Y','Y'
'F','112DBD','Paraglider','AJC','','Y','Y'
'F','1132FB','Paraglider','GA','GA','Y','Y'
'F','1133A1','Paraglider','1234567890','','Y','Y'
'F','1133F7','Paraglider','Berni','BER','Y','Y'
'F','1133FA','Paraglider','idontknow','','Y','Y'
'F','113ACF','Paraglider','Nino','Nino','Y','Y'
'F','113C30','Paraglider','PARA','CH','Y','Y'
'F','113CA9','Paraglider','SHV 63702','N/A','Y','Y'
'F','113D0F','PPG','OM-L314','','Y','Y'
'F','113E69','Paraglider','113E69','','Y','Y'
'F','114018','Paraglider','JERG','JEM','Y','Y'
'F','11408C','Paraglider','keine','','Y','Y'
'F','11412E','Paraglider, Sky Apollo2','koczang@gmail.com','954','Y','Y'
'F','11423C','Paraglider','Pigeon','25759','Y','Y'
'F','114256','Paraglider','None','','Y','Y'
'F','1142A8','Paraglider','311','311','Y','Y'
'F','1142BC','Paraglider','Chilli5','','Y','Y'
'F','1142CE','Paraglider','n/a','','Y','Y'
'F','1142EC','Paramotor','DKL24M','','Y','Y'
'F','114341','Paraglider','AV','AV','Y','Y'
'F','11441C','Paraglider Mentor 5 Light','42125','','N','Y'
'F','11443C','Paraglider','BGD Cure','Strato','Y','Y'
'F','1144C6','Paraglider','Markus','Markus','Y','Y'
'F','1149D6','Paraglider','Unregistered','Wally.pg','Y','Y'
'F','114D55','Paraglider','BHPA 40435','','Y','Y'
'F','115113','PARAGLIDER','29591','','Y','Y'
'F','1153E4','paraglider','1153e4','none','Y','Y'
'F','115793','Paragliding Paramotor','6872','6872','Y','Y'
'F','115E2C','DG','dkoto','115','Y','Y'
'F','11604C','Paraglider','martin.starke@mail.de','','Y','Y'
'F','1160DD','Paraglider','1060DD','','Y','Y'
'F','121800','Apis MC','SERAPHIEL','LOT328','Y','Y'
'F','123456','Akaflieg Experimental','D-1111','I','N','Y'
'F','123494','Cessna 172','HB-SKEB2','','Y','Y'
'F','12AB56','Sinus','1234','','Y','Y'
'F','12BB07','Cirrus','D-0815','XY','N','Y'
'F','130125','Tecnam P2002','ec-ec3','','N','Y'
'F','130610','Duo Discus','D-KKPG','KPK','N','Y'
'F','140413','Ventus 2cxT','D-KAKL','DM','N','Y'
'F','1465CF','ASW19b','D-2725','B9','Y','Y'
'F','148139','H36 Dimona','D-KMKR','','Y','Y'
'F','152316','VSO-10','OM-9604','85','Y','Y'
'F','160001','Stemme S10','VH-GTS','S10','Y','Y'
'F','160002','Stemme S10','VH-GTS','S10','Y','Y'
'F','16000E','Paraglider','29379','','Y','Y'
'F','16002A','Paraglider','29379','','Y','Y'
'F','1601DD','GY 80','F-BMUT','N&M','Y','Y'
'F','160711','Dynamic WT9','D-MSDF','','Y','Y'
'F','170003','PA25','VH-CSN','CSN','Y','Y'
'F','1800BE','Free balloon','InvolveAtom1','','Y','Y'
'F','192400','LS8','GCSKD','IT','Y','Y'
'F','199998','ASG 32 MI','1052572_OBS','','Y','Y'
'F','1A009B','UAV D','1A009B','','Y','Y'
'F','1A00C3','UAV D','Rettungsdrohne','','Y','Y'
'F','1A00CB','Drone Search and Rescue','SRZ2000','','Y','Y'
'F','1A00CF','Drone Search and Rescue','SRZ1000','','Y','Y'
'F','1A00E9','UAV D','Feuerwehr Koblenz','','Y','Y'
'F','1A010B','Matrice 210v2','DEUf9x8j8fhhb1cb','112','Y','Y'
'F','1A0199','Drohne','DEU0xhj6l7v87vi3','','Y','Y'
'F','1A0203','DJI M4TD','Tiersuchrettung Glarnerland','','Y','Y'
'F','1A0276','Drohne-UAV','DEUvpkbn17i0rl78','GF1','Y','Y'
'F','1A0283','UAS','DEU31n3oqv9avjru','','Y','Y'
'F','1A0325','Gas Balloon','HBQWV','','Y','Y'
'F','1A0366','Drohne','DEU0xhj6l7v87vi3','','Y','Y'
'F','1A03A0','Mavic 3T','CHEve6388hyww7ov','','Y','Y'
'F','1A03E3','DJI Matrice','UAS','','Y','Y'
'F','1A672B','ASK-21','D-1456','56','Y','Y'
'F','1BB808','Paramotor-Trike','D-MVTG','','Y','Y'
'F','1BD974','Z-226','OK-LNN','LNN','Y','Y'
'F','1CA8D2','Twin-2','608910573','OO-ZVF','Y','Y'
'F','1E8674','spare','N0001','DK','Y','Y'
'F','1E8724','SZD-50','N92MN','MN','Y','Y'
'F','1E8D84','Ventus 2M','N0000','WP','Y','Y'
'F','1E9DC8','SZD-55-1','N56GP','GP','Y','Y'
'F','1ED4A7','Glasflügel 304','D-4304','304','Y','Y'
'F','1EF3B1','DG800','D-KHYN','YN','Y','Y'
'F','1F6707','TMG','D-KCAL','CW','Y','Y'
'F','1F8744','LS-8','D-8397','DG','Y','Y'
'F','1FFFFF','Ventus b 16.6','D-2816','','Y','Y'
'F','200001','Paraglider','29379','','Y','Y'
'F','200149','Paraglider','49764','','Y','Y'
'F','200167','Paraglider','9055','','Y','Y'
'F','200168','Paraglider','49775','','Y','Y'
'F','200172','Paraglider','AWS','','Y','Y'
'F','200176','Gleitschirm','a.bott','25466','Y','Y'
'F','20017A','Nova Aonic','FLATMXCTW-000378','','Y','Y'
'F','20018C','Paraglider','Dave','DJM','Y','Y'
'F','2001C0','Paraglider','Ozone Rush 4','','Y','Y'
'F','2001C5','Paraglider','38819','333','Y','Y'
'F','2001C8','Paraglider','None','-','Y','Y'
'F','2001D9','Paraglider','RICH-C','PG','Y','Y'
'F','2001DB','Paraglider','48113','','Y','Y'
'F','2001E1','Paraglider','D-MRPK','','Y','Y'
'F','2001ED','Paraglider','SHV53116','','Y','Y'
'F','2002B2','Paraglider','39580','','Y','Y'
'F','2002D5','Paraglider','34000','','Y','Y'
'F','2002EA','Paraglider','FLO','','Y','Y'
'F','200315','PARAGLIDER','le7le','','Y','Y'
'F','200320','Paraglider','none','','Y','Y'
'F','200328','Paraglider','200328','','Y','Y'
'F','20032A','Paraglider','49775','','Y','Y'
'F','20038D','Paraglider','GWC','','Y','Y'
'F','2003D4','Paraglider','OlliW','OlliW','Y','Y'
'F','2003F8','Paraglider','FLATMXCTW-001016','','Y','Y'
'F','20040F','Paraglider','DHV 80802','','Y','Y'
'F','200484','Gleitschirm','D-MHSY','SY','Y','Y'
'F','2004B6','Paraglider','16569','','Y','Y'
'F','2004D4','Paraglider','stromix','','Y','Y'
'F','200508','Paraglider','55076','','Y','Y'
'F','200557','Paraglider','CH13512','','Y','Y'
'F','20056E','Paraglider','Paraglider','2205','Y','Y'
'F','2005C7','Paraglider','PG-ROSS','','Y','Y'
'F','2005FE','Paraglider','1078','','Y','Y'
'F','200601','Paraglider','RedMaestro','','Y','Y'
'F','20061E','Paraglider','S Smith','','Y','Y'
'F','200626','Paraglider','59216','','Y','Y'
'F','200680','Paraglider','N/A','4270','Y','Y'
'F','200691','Enzo3','329','329','Y','Y'
'F','20069B','Paraglider','SHV53097','','Y','Y'
'F','2006B0','Paraglider','none','14555','Y','Y'
'F','2006BB','Paraglider','35618','','Y','Y'
'F','2006BD','Paraglider','2206796R','','Y','Y'
'F','200718','Paraglider','Cure2','','Y','Y'
'F','20073B','Paraglider','-','','Y','Y'
'F','200740','Paraglider','Rush5','','Y','Y'
'F','2007B7','Paraglider','3469','MR2','Y','Y'
'F','2007C2','Paraglider','egarza','','Y','Y'
'F','2007DD','Paraglider','36','Ri','Y','Y'
'F','200819','Paraglider','GingeXC','','Y','Y'
'F','200837','Paraglider','Skywalk Arriba 4','','Y','Y'
'F','20088A','Paraglider','TM','','Y','Y'
'F','200898','Paraglider','PG-MBU','MBU','Y','Y'
'F','2008CB','Arriba4S','none','none','Y','Y'
'F','2008E8','Paraglider','na','','Y','Y'
'F','2008F0','Paraglider','FLATMXCTW-002288','8181','Y','Y'
'F','200981','Paraglider','Radsberg','51477','Y','Y'
'F','200A33','Paraglider','JOS','JOS','Y','Y'
'F','200A7F','Paraglider','STOLEN!','JER','Y','Y'
'F','200AEB','paraglider','para12','','Y','Y'
'F','200B69','Paraglider','777','777','Y','Y'
'F','200B70','Paraglider','00436503459060','35777','Y','Y'
'F','200CFB','Paraglider','SHV53098','','Y','Y'
'F','200D16','Paraglider','-','','Y','Y'
'F','200E51','Paraglider','4978','4977','Y','Y'
'F','200E7D','Paraglider','9055','','Y','Y'
'F','200ED8','Paraglider','Paraglider','','Y','Y'
'F','200F3E','PARAGLIDER','na','','Y','Y'
'F','200FC5','Paraglider','23200','','Y','Y'
'F','201047','Paraglider','memimo','','Y','Y'
'F','20105E','Paraglider','None','','Y','Y'
'F','201066','Paraglider','201066','','Y','Y'
'F','201076','Paraglider','VLAD0','','Y','Y'
'F','20109B','Paraglider','64608','','Y','Y'
'F','2010D0','Parglider','n/a','','Y','Y'
'F','201172','Paraglider','201172','','Y','Y'
'F','201182','Paraglider','201182','','Y','Y'
'F','201257','Paraglider','none','','N','Y'
'F','201289','Paraglider','D-NRAQ','','Y','Y'
'F','2012BC','Paraglider','PascalB','','Y','Y'
'F','2012C8','Paraglider','Dorin B.','','Y','Y'
'F','2012CF','Paraglider','2012CF','','Y','Y'
'F','20136E','Paraglider','62778','','Y','Y'
'F','2013D5','Paraglider','0133F0FE2764','','Y','Y'
'F','201462','Paraglider','201462','','Y','Y'
'F','201493','Paraglider','n/a','','Y','Y'
'F','201494','Banjo','D-MGVS','VS','Y','Y'
'F','201539','Paraglider','RSG','','Y','Y'
'F','2015A9','Paraglider','LD','','Y','Y'
'F','201694','Paraglider','43238','MDT','Y','Y'
'F','2016CC','','','','Y','N'
'F','2016E5','Paraglider','D-NRAQ','','Y','Y'
'F','20177E','Paraglider','NZHGPA_6883','','Y','Y'
'F','2017CD','Paraglider','Nil','','Y','Y'
'F','201837','Paraglider','BHPA 43163','','Y','Y'
'F','20183F','Paraglider','Niviuk-Hook','','Y','Y'
'F','201900','Paraglider','DanZPG','PG','Y','Y'
'F','20192D','Paraglider','SwiftSix','','Y','Y'
'F','201997','Paraglider','39069','','Y','Y'
'F','2019D1','Paraglider','keine','','Y','Y'
'F','201A43','Paraglider','NeilC','8675','Y','Y'
'F','201A48','Paraglider','yes','','Y','Y'
'F','201A5D','Paraglider','edgarbaus','','Y','Y'
'F','201A7D','Glider Ka-6 CR','G-DHEB','','Y','Y'
'F','201B60','paraglider','JM','JM','Y','Y'
'F','201C28','Paraglider','Andrey','','Y','Y'
'F','201C35','Paraglide','20260301','','Y','Y'
'F','201C52','Paraglider','CJS','','Y','Y'
'F','201CDE','Paraglider','PK OM-P469','','Y','Y'
'F','201D29','Maestro2','62966','','Y','Y'
'F','201D40','Paraglider','SteveyG','','Y','Y'
'F','201DBD','Paraglider','1600711C','','Y','Y'
'F','201E8B','Paraglider','Paraglider2013','Paraglider2013','Y','Y'
'F','201FA6','Paragliding','?','','Y','Y'
'F','202008','Paraglider','Sigma 11','','Y','Y'
'F','202186','Paraglider','65057','','Y','Y'
'F','20220C','Paraglider','ISS','','Y','Y'
'F','202211','Paraglider','None','','Y','Y'
'F','202333','Paraglider','D-????','URa','Y','Y'
'F','2023D4','Paraglider','102035','534','Y','Y'
'F','20240E','Paraglider','None','','Y','Y'
'F','20252C','Paraglider','20252C','','Y','Y'
'F','2026AA','Paraglider','OY-65004','5004','Y','Y'
'F','2026D5','Paraglider','no','','Y','Y'
'F','2027FE','Paraglider','2027FE','','Y','Y'
'F','206F86','Paraglider','EH','','Y','Y'
'F','210556','Discus','D-6161','SH','N','Y'
'F','215485','A380','2156461','aa','N','Y'
'F','21F6B7','Discus 2b','D-5539','R2','Y','Y'
'F','220024','Paraglider','19252','19252','Y','Y'
'F','22017D','Paraglider','00381','','Y','Y'
'F','2201CB','HANGGLIDEr atos vqr','D-NLOL','','Y','Y'
'F','2202A3','Paraglider','xxx','','Y','Y'
'F','2203F5','PARAGLIDER','N','N','Y','Y'
'F','22040E','paraglider','none','','Y','Y'
'F','22043E','Paraglider','PascalB','','Y','Y'
'F','2434AE','Nimbus 2','D-2789','GE','Y','Y'
'F','25A9DC','Ground station','North York Sailplanes','NYS','Y','Y'
'F','26E632','Piccolo B','D-XXWH','','Y','Y'
'F','28C113','Club class glider','G-DEJR','193','Y','Y'
'F','296EEA','ASW 19b','D-0754','G1','Y','Y'
'F','2AC550','LS8-18','D-6069','RT','Y','Y'
'F','2BD2C4','glider LS6b','KYL','','Y','Y'
'F','2D29D9','Diamond DA-40 Star','D-EOCF','','Y','Y'
'F','2D54D6','Pa-18-150','OO-PRO','RO','Y','Y'
'F','2EC32F','Arcus M','DKOWL','VH3','Y','Y'
'F','2EFFFF','Glider','D-2704','FL','Y','Y'
'F','2FCE3F','Mosquito','D-4430','30','Y','Y'
'F','3011D9','WOLF','WOLF1','WLF','Y','Y'
'F','301FBF','Primoco UAV ONE-150','OK-X081R','','Y','Y'
'F','301FC9','Primoco UAV ONE-150','OK-X081W','','Y','Y'
'F','305A8A','Powered Paraglider','N.A.','','Y','Y'
'F','31052A','Piper Pa-18','D-BEHR','','Y','Y'
'F','32F759','ASW20FL','SP-4322','X11','Y','Y'
'F','336CB0','Astir CS','D-9554','','Y','Y'
'F','33858D','Ls1-f','D-2771','AR','Y','Y'
'F','3465C1','Glider','EC-MZU','CB','Y','Y'
'F','37F42A','KA6E(l)M','OH-632X','ALI','Y','Y'
'F','380F1C','SINUS','73OL','','Y','Y'
'F','3868FB','MCR4','FPSOL','','Y','Y'
'F','3875FD','UFM13','F-JLIE','','Y','Y'
'F','388A3B','LS6C-18','F-CGUL','3C','Y','Y'
'F','38A77D','Tétras ULM','F-JXJY','','Y','Y'
'F','38B97B','Discus 2C','F-CJEN','F10','Y','Y'
'F','38B99B','Discus 2C','F-CJEO','F11','Y','Y'
'F','38B9DB','Discus 2C','F-CJEV','F14','Y','Y'
'F','38B9FB','Discus 2C','F-CJES','F13','Y','Y'
'F','38BA3B','Discus 2C','F-CJEQ','F12','Y','Y'
'F','38C4BB','Twin III SL 18m','F-CLVA','JA','Y','Y'
'F','38F27C','Discus 2c 18m','F-CIEZ','F5','Y','Y'
'F','38F35B','C101A','F-CGON','AF','Y','Y'
'F','38F7BC','Duo Discus xlt','F-CFOU','ABB','Y','Y'
'F','39016F','WT9','F-JDBH','BH','Y','Y'
'F','390FBB','Duo-Discus x','D-1999','8Y','Y','Y'
'F','39207B','Discus 2C','F-CAGA','F3','Y','Y'
'F','39265B','Experimental','VH-NHN','X1','N','Y'
'F','3932FB','Discus-2c','F-CVRB','RB','Y','Y'
'F','39345B','Stemme S12','F-CJSG','JSG','Y','Y'
'F','393DBB','Arcus 20M','F-CTMS','MS','Y','Y'
'F','39463B','TB-30 Epsilon','F-AYZC','','Y','Y'
'F','394FFB','LS4 A','F-CAFI','SB','Y','Y'
'F','3955DB','RF3','F-CLEP','EP','Y','Y'
'F','3962FB','GLIDER','GLIDER','CS','Y','Y'
'F','396FFB','AS 33 Es','F-CVGD','JO','Y','Y'
'F','397C7B','Nimbus 3 24,5','F-CFTO','RH','Y','Y'
'F','39809B','Ventus-3M','F-CXDD','D2','Y','Y'
'F','39835B','LS7-WL','F-CVDM','5L','Y','Y'
'F','398FBB','AS33Me','F-CPPP','3P','Y','Y'
'F','399F5C','WT9 Dynamic','F-JSOA','OA','Y','Y'
'F','39B9FB','Discus 2C','F-CJES','F13','Y','Y'
'F','3A310B','Ls4-b','D-3114','7H','Y','Y'
'F','3AB668','Lak-17at','BI2','BI2','Y','Y'
'F','3AC350','Other','AWM1','','Y','Y'
'F','3B29AE','Ventus bT','D-KAZZ','VT','Y','Y'
'F','3BE540','glider','116RR','RR','Y','Y'
'F','3C6505','DG1000T','D-KWAD','8D','Y','Y'
'F','3C6581','Pipistrel Virus SW100','D-MEEU','DLHSMM','Y','Y'
'F','3C65D6','Duodiscus xLT','D-KSAN','AN','Y','Y'
'F','3CDC9F','Ls-1d','D-0669','F','Y','Y'
'F','3CFA4B','ASG 29/18m','D-9292','2B','Y','Y'
'F','3D0570','Morane','D-EAHS','HS','Y','Y'
'F','3D05CB','DR400/180','D-EALF','','Y','Y'
'F','3D068B','Morane MS880b','D-EASP','','Y','Y'
'F','3D07B3','Aviat A-1 Husky','E-EBDZ','','Y','Y'
'F','3D0930','DR40','D-EBSQ','SQ','Y','Y'
'F','3D09CA','Piper PA18-180','D-EBYO','YO','Y','Y'
'F','3D0CD3','S223','DEDCL','','Y','Y'
'F','3D0D42','Aquila AT01','D-EDGS','','Y','Y'
'F','3D0D47','MAULE MT7-235','D-EDGX','','Y','Y'
'F','3D0E28','FW P.149D','D-EDPO','','Y','Y'
'F','3D0E59','Robin DR.400 180R Remorqueur','D-EDRL','','Y','Y'
'F','3D0E8E','Cessna 172','D-EDTM','','Y','Y'
'F','3D0EB4','DR-300','D-EDUY','DUY','Y','Y'
'F','3D0F8D','Cessna 172M','D-EEDH','','N','Y'
'F','3D0FA3','Zlin 526 M','D-EEED','ED','Y','Y'
'F','3D1095','Pipistrel SW128 Electro','D-EENL','NL','Y','Y'
'F','3D1100','114a','D-EERO','','Y','Y'
'F','3D1154','C172','D-EEUU','','Y','Y'
'F','3D12D0','B209','D-EFJK','2a33be7','Y','Y'
'F','3D1352','PA28-150','D-EFOK','','Y','Y'
'F','3D1569','Jodel DR400 Remorqueur','D-EGIZ','','Y','Y'
'F','3D15BE','PA46','D-EGMG','MG','Y','Y'
'F','3D1660','Piper PA28 Cherokee','D-EGSM','','Y','Y'
'F','3D175C','Husky A1','D-EHCE','','Y','Y'
'F','3D17AD','DR 400','D-EHFH','FH','Y','Y'
'F','3D18CC','S223 Flamingo','D-EHQI','','Y','Y'
'F','3D1912','Tecnam P2002 JF','D-EHTA','','Y','Y'
'F','3D192B','Tecnam P2002 JF','D-EHTZ','','Y','Y'
'F','3D19CB','Dynamic WT9','D-EIAD','DAD','Y','Y'
'F','3D1B19','Cessna 172P','D-EIMZ','','N','Y'
'F','3D1BFF','Koliber 150','D-EIVV','','Y','Y'
'F','3D1C0E','P28B','D-EIWK','WK','Y','Y'
'F','3D1C4A','Cessna 182','D-EIYS','YS','Y','Y'
'F','3D1E11','Robin DR400','D-EJQF','','Y','Y'
'F','3D20A7','PA 28','D-EKPR','','Y','Y'
'F','3D211F','Luscombe 8F','D-EKUH','KUH','Y','Y'
'F','3D2293','AQUILA A211','D-ELIP','','Y','Y'
'F','3D2304','Husky A1','D-ELMY','MY','Y','Y'
'F','3D24DC','Diamond DA-20 Katana','D-EMFC','','Y','Y'
'F','3D2567','DR-400','D-EMKL','','Y','Y'
'F','3D2598','Focke-Wulf FW 44 Stieglitz','D-EMMI','','Y','Y'
'F','3D25CC','CJ2','D-EMOI','','Y','Y'
'F','3D25E1','Cessna 172 N','D-EMPD','','Y','Y'
'F','3D27B8','Robin DR 400','D-ENHG','HG','Y','Y'
'F','3D28D6','Cessna 172N','D-EOVU','','N','Y'
'F','3D2BB3','Maule M6 235 Rocket','D-EOUL','UL','Y','Y'
'F','3D2D25','Maule MX7 180A','D-EPIR','','Y','Y'
'F','3D2E33','Maule MX7/235','D-EPTB','TB','Y','Y'
'F','3D3215','KATANA DA20','D-ERFH','','Y','Y'
'F','3D3430','Cessna 172S','D-ESAA','','N','Y'
'F','3D37F2','P28A','D-ETLA','LA','Y','Y'
'F','3D38EE','DR400 180R','D-ETUS','','Y','Y'
'F','3D3F85','PZL Wilga 35a','D-EWHP','','Y','Y'
'F','3D4101','DV20','D-EWWF','WF','Y','Y'
'F','3D41F8','C172','D-EXFS','FS','Y','Y'
'F','3D4234','Robin DR 500','D-EXIA','IA','Y','Y'
